title,alias,artists,artist_aliases,country,genre,language,duration,notes
"Nuclear Seasons",,"Charli XCX",,UK,"Dark wave",English,282,Fx
New,,"No Doubt",,USA,"Alternative Rock",English,267,Pop
Murderer,,"Buju Banton",,Jamaica,Reggae,English,238,Pol
"Change of Coast",,"Neon Indian",,USA,Soundtrack,English,193,Pop
"All You're Waiting For (feat. Nancy Whang)",,"Classixxx, Nancy Whang",,USA,Synthpop,English,258,80s
Bachelorette,,"Björk",Bj??rk,Iceland,"Orchestral Pop",English,318,Sy
Hunter,,"Björk",Bj??rk,Iceland,"Symphonic Pop",English,252,Sy
"Move the Crowd",,"Eric B. & Rakim",,USA,Hip-hop,English,228,Ox
"Eric B. is President",,"Eric B. & Rakim",,USA,Hip-hop,English,378,Ox
"What's Your Name?",,4minute,,Korea,Kpop,Korean,186,K
"Future Club",,Perturbator,,USA,Electronic,none,290,Fx
"Got to Be Real",,"Cheryl Lynn",,USA,Disco,English,308,Cx
Scary,,"Britney Spears",,Japan,Pop,English,220,Pop
"Strawberry Letter 23",,"The Brothers Johnson",,USA,"Psychedelic soul",English,299,Cx
"Hand to Phone (Cordless Mix)",,ADULT.,,USA,Electronic,English,319,Fx
"Lựa Chọn","Lựa Chọn","Trang Pháp","Trang Ph??p",Vietnam,"Viet pop",Vietnamese,309,Viet
Chained,,"Nadine Coyle",,UK,Pop,English,239,Pop
Insatiable,,"Nadine Coyle",,UK,Pop,English,187,Pop
"Put Your Hands Up",,"Nadine Coyle",,UK,Pop,English,225,Pop
"Runnin'",,"Nadine Coyle",,UK,Pop,English,245,Pop
"Буду с тобой","Budu s toboy","5sta Family",,Russia,Pop,Russian,209,R/U
"Boy (Hardwell Remix) (feat. Rebecca & Fiona)",,"Adrian Lux, Rebecca & Fiona",,USA,Pop,English,418,Pop
"Free Somebody",,Luna,,Korea,Kpop,Korean,199,K
"Keep on Doin'",,Luna,,Korea,Kpop,Korean,193,K
Bassline,,"Miss Kittin",,France,Electropop,English,217,Fx
"Rendez-Vous d'Or",,"Xeno & Oaklander",,USA,"Dark wave",French,267,Fx
Werke,,"Xeno & Oaklander",,USA,"Dark wave",English,222,Fx
Insomnia,,"Xeno & Oaklander",,USA,"Dark wave",English,279,Fx
"난 바빠","Nan bappa",2ne1,,Korea,Kpop,Korean,216,K
Eyeline,,Afterschool,,Korea,Kpop,Korean,196,K
Situation,,Yazoo,,UK,Synthpop,English,347,80s
"It's Magic",,"Girls Aloud",,UK,Pop,English,232,Pop
"Girl Overboard",,"Girls Aloud",,UK,Pop,English,249,Pop
"What You Crying For",,"Girls Aloud",,UK,Pop,English,223,Pop
"Memory of You",,"Girls Aloud",,UK,Pop,English,227,Pop
"How's This?",,HyunA,,Korea,"Korean Trap",Korean,199,K
Stalker,,Covenant,,Sweden,Industrial,English,327,Industrial
"Vitamin D",,Monatik,,Ukraine,Pop,Russian,227,R/U
"Выходной",Vykhodnoy,Monatik,,Ukraine,Pop,Russian,180,R/U
"Глубоко...",Gluboko...,"Monatik, Dorofeeva",,Ukraine,Pop,Russian,252,R/U
"If you know what I mean",,"Monatik, Dorofeeva",,Ukraine,"Dance pop",Ukrainian,217,R/U
I.D.,,"Monatik, OTOY",,Ukraine,"Dance pop",Ukrainian,215,R/U
Rumor,,Kard,,Korea,Kpop,Korean,217,K
"Smalltown Boy",,"Bronski Beat",,UK,Synthpop,English,302,80s
"Tesko Suicide",,"Sneaker Pimps",,UK,"Alt dance",English,228,Pop
Invitation,,"Um Jung Hwa",,Korea,Kpop,Korean,234,K
"RSVP (feat. CHANGMO)",,"HyunA, CHANGMO",,Korea,Kpop,Korean,178,Pair
"More Bounce to the Ounce",,Zapp,,USA,Funk,English,316,Cx
"Ain't No Future in Yo' Frontin'",,"MC Breed, DFC",,USA,G-funk,English,245,Ox
