title,alias,artists,artist_aliases,country,genre,language,duration,notes,release_year,release_month
Nuclear Seasons,,Charli XCX,,UK,Dark wave,English,282,Fx,2013,4
New,,No Doubt,,USA,Alternative Rock,English,267,Pop,2000,
Murderer,,Buju Banton,,Jamaica,Reggae,English,238,Pol,2005,
Change of Coast,,Neon Indian,,USA,Soundtrack,English,193,Pop,2013,9
All You're Waiting For (feat. Nancy Whang),,"Classixxx, Nancy Whang",,USA,Synthpop,English,258,80s,,
Bachelorette,,Björk,Bj??rk,Iceland,Orchestral Pop,English,318,Sy,1999,
Hunter,,Björk,Bj??rk,Iceland,Symphonic Pop,English,252,Sy,2001,
Move the Crowd,,Eric B. & Rakim,,USA,Hip-hop,English,228,Ox,1988,
Eric B. is President,,Eric B. & Rakim,,USA,Hip-hop,English,378,Ox,1986,
What's Your Name?,,4minute,,Korea,Kpop,Korean,186,K,,
Future Club,,Perturbator,,USA,Electronic,none,290,Fx,2024,12
Got to Be Real,,Cheryl Lynn,,USA,Disco,English,308,Cx,2005,
Scary,,Britney Spears,,Japan,Pop,English,220,Pop,,
Strawberry Letter 23,,The Brothers Johnson,,USA,Psychedelic soul,English,299,Cx,2003,
Hand to Phone (Cordless Mix),,ADULT.,,USA,Electronic,English,319,Fx,2012,11
Lựa Chọn,Lựa Chọn,Trang Pháp,Trang Ph??p,Vietnam,Viet pop,Vietnamese,309,Viet,,
Chained,,Nadine Coyle,,UK,Pop,English,239,Pop,2010,11
Insatiable,,Nadine Coyle,,UK,Pop,English,187,Pop,2010,11
Put Your Hands Up,,Nadine Coyle,,UK,Pop,English,225,Pop,2010,11
Runnin',,Nadine Coyle,,UK,Pop,English,245,Pop,2010,11
Буду с тобой,Budu s toboy,5sta Family,,Russia,Pop,Russian,209,R/U,2013,9
Boy (Hardwell Remix) (feat. Rebecca & Fiona),,"Adrian Lux, Rebecca & Fiona",,USA,Pop,English,418,Pop,,
Free Somebody,,Luna,,Korea,Kpop,Korean,199,K,2016,5
Keep on Doin',,Luna,,Korea,Kpop,Korean,193,K,2016,5
Bassline,,Miss Kittin,,France,Electropop,English,217,Fx,2013,4
Rendez-Vous d'Or,,Xeno & Oaklander,,USA,Dark wave,French,267,Fx,2009,11
Werke,,Xeno & Oaklander,,USA,Dark wave,English,222,Fx,2009,11
Insomnia,,Xeno & Oaklander,,USA,Dark wave,English,279,Fx,2019,3
난 바빠,Nan bappa,2ne1,,Korea,Kpop,Korean,216,K,,
Eyeline,,Afterschool,,Korea,Kpop,Korean,196,K,,
Situation,,Yazoo,,UK,Synthpop,English,347,80s,2003,6
It's Magic,,Girls Aloud,,UK,Pop,English,232,Pop,2025,9
Girl Overboard,,Girls Aloud,,UK,Pop,English,249,Pop,,
What You Crying For,,Girls Aloud,,UK,Pop,English,223,Pop,,
Memory of You,,Girls Aloud,,UK,Pop,English,227,Pop,,
How's This?,,HyunA,,Korea,Korean Trap,Korean,199,K,,
Stalker,,Covenant,,Sweden,Industrial,English,327,Industrial,2000,12
